teff,logg,M_H,fsed,CO
900,3.5,-0.5,1.0,1.0
900,3.5,-0.5,2.0,1.0
900,3.5,-0.5,3.0,1.0
900,3.5,-0.5,4.0,1.0
900,3.5,-0.5,8.0,1.0
900,3.5,-0.5,20.0,1.0
900,3.5,0.0,1.0,1.0
900,3.5,0.0,2.0,1.0
900,3.5,0.0,3.0,1.0
900,3.5,0.0,4.0,1.0
900,3.5,0.0,8.0,1.0
900,3.5,0.0,20.0,1.0
900,3.5,0.5,1.0,1.0
900,3.5,0.5,2.0,1.0
900,3.5,0.5,3.0,1.0
900,3.5,0.5,4.0,1.0
900,3.5,0.5,8.0,1.0
900,3.5,0.5,20.0,1.0
900,4.0,-0.5,1.0,1.0
900,4.0,-0.5,2.0,1.0
900,4.0,-0.5,3.0,1.0
900,4.0,-0.5,4.0,1.0
900,4.0,-0.5,8.0,1.0
900,4.0,-0.5,20.0,1.0
900,4.0,0.0,1.0,1.0
900,4.0,0.0,2.0,1.0
900,4.0,0.0,3.0,1.0
900,4.0,0.0,4.0,1.0
900,4.0,0.0,8.0,1.0
900,4.0,0.0,20.0,1.0
900,4.0,0.5,1.0,1.0
900,4.0,0.5,2.0,1.0
900,4.0,0.5,3.0,1.0
900,4.0,0.5,4.0,1.0
900,4.0,0.5,8.0,1.0
900,4.0,0.5,20.0,1.0
900,4.5,-0.5,1.0,1.0
900,4.5,-0.5,2.0,1.0
900,4.5,-0.5,3.0,1.0
900,4.5,-0.5,4.0,1.0
900,4.5,-0.5,8.0,1.0
900,4.5,-0.5,20.0,1.0
900,4.5,0.0,1.0,1.0
900,4.5,0.0,2.0,1.0
900,4.5,0.0,3.0,1.0
900,4.5,0.0,4.0,1.0
900,4.5,0.0,8.0,1.0
900,4.5,0.0,20.0,1.0
900,4.5,0.5,1.0,1.0
900,4.5,0.5,2.0,1.0
900,4.5,0.5,3.0,1.0
900,4.5,0.5,4.0,1.0
900,4.5,0.5,8.0,1.0
900,4.5,0.5,20.0,1.0
900,5.0,-0.5,1.0,1.0
900,5.0,-0.5,2.0,1.0
900,5.0,-0.5,3.0,1.0
900,5.0,-0.5,4.0,1.0
900,5.0,-0.5,8.0,1.0
900,5.0,-0.5,20.0,1.0
900,5.0,0.0,1.0,1.0
900,5.0,0.0,2.0,1.0
900,5.0,0.0,3.0,1.0
900,5.0,0.0,4.0,1.0
900,5.0,0.0,8.0,1.0
900,5.0,0.0,20.0,1.0
900,5.0,0.5,1.0,1.0
900,5.0,0.5,2.0,1.0
900,5.0,0.5,3.0,1.0
900,5.0,0.5,4.0,1.0
900,5.0,0.5,8.0,1.0
900,5.0,0.5,20.0,1.0
900,5.5,-0.5,1.0,1.0
900,5.5,-0.5,2.0,1.0
900,5.5,-0.5,3.0,1.0
900,5.5,-0.5,4.0,1.0
900,5.5,-0.5,8.0,1.0
900,5.5,-0.5,20.0,1.0
900,5.5,0.0,1.0,1.0
900,5.5,0.0,2.0,1.0
900,5.5,0.0,3.0,1.0
900,5.5,0.0,4.0,1.0
900,5.5,0.0,8.0,1.0
900,5.5,0.0,20.0,1.0
900,5.5,0.5,1.0,1.0
900,5.5,0.5,2.0,1.0
900,5.5,0.5,3.0,1.0
900,5.5,0.5,4.0,1.0
900,5.5,0.5,8.0,1.0
900,5.5,0.5,20.0,1.0
1000,3.5,-0.5,1.0,1.0
1000,3.5,-0.5,2.0,1.0
1000,3.5,-0.5,3.0,1.0
1000,3.5,-0.5,4.0,1.0
1000,3.5,-0.5,8.0,1.0
1000,3.5,-0.5,20.0,1.0
1000,3.5,0.0,1.0,1.0
1000,3.5,0.0,2.0,1.0
1000,3.5,0.0,3.0,1.0
1000,3.5,0.0,4.0,1.0
1000,3.5,0.0,8.0,1.0
1000,3.5,0.0,20.0,1.0
1000,3.5,0.5,1.0,1.0
1000,3.5,0.5,2.0,1.0
1000,3.5,0.5,3.0,1.0
1000,3.5,0.5,4.0,1.0
1000,3.5,0.5,8.0,1.0
1000,3.5,0.5,20.0,1.0
1000,4.0,-0.5,1.0,1.0
1000,4.0,-0.5,2.0,1.0
1000,4.0,-0.5,3.0,1.0
1000,4.0,-0.5,4.0,1.0
1000,4.0,-0.5,8.0,1.0
1000,4.0,-0.5,20.0,1.0
1000,4.0,0.0,1.0,1.0
1000,4.0,0.0,2.0,1.0
1000,4.0,0.0,3.0,1.0
1000,4.0,0.0,4.0,1.0
1000,4.0,0.0,8.0,1.0
1000,4.0,0.0,20.0,1.0
1000,4.0,0.5,1.0,1.0
1000,4.0,0.5,2.0,1.0
1000,4.0,0.5,3.0,1.0
1000,4.0,0.5,4.0,1.0
1000,4.0,0.5,8.0,1.0
1000,4.0,0.5,20.0,1.0
1000,4.5,-0.5,1.0,1.0
1000,4.5,-0.5,2.0,1.0
1000,4.5,-0.5,3.0,1.0
1000,4.5,-0.5,4.0,1.0
1000,4.5,-0.5,8.0,1.0
1000,4.5,-0.5,20.0,1.0
1000,4.5,0.0,1.0,1.0
1000,4.5,0.0,2.0,1.0
1000,4.5,0.0,3.0,1.0
1000,4.5,0.0,4.0,1.0
1000,4.5,0.0,8.0,1.0
1000,4.5,0.0,20.0,1.0
1000,4.5,0.5,1.0,1.0
1000,4.5,0.5,2.0,1.0
1000,4.5,0.5,3.0,1.0
1000,4.5,0.5,4.0,1.0
1000,4.5,0.5,8.0,1.0
1000,4.5,0.5,20.0,1.0
1000,5.0,-0.5,1.0,1.0
1000,5.0,-0.5,2.0,1.0
1000,5.0,-0.5,3.0,1.0
1000,5.0,-0.5,4.0,1.0
1000,5.0,-0.5,8.0,1.0
1000,5.0,-0.5,20.0,1.0
1000,5.0,0.0,1.0,1.0
1000,5.0,0.0,2.0,1.0
1000,5.0,0.0,3.0,1.0
1000,5.0,0.0,4.0,1.0
1000,5.0,0.0,8.0,1.0
1000,5.0,0.0,20.0,1.0
1000,5.0,0.5,1.0,1.0
1000,5.0,0.5,2.0,1.0
1000,5.0,0.5,3.0,1.0
1000,5.0,0.5,4.0,1.0
1000,5.0,0.5,8.0,1.0
1000,5.0,0.5,20.0,1.0
1000,5.5,-0.5,1.0,1.0
1000,5.5,-0.5,2.0,1.0
1000,5.5,-0.5,3.0,1.0
1000,5.5,-0.5,4.0,1.0
1000,5.5,-0.5,8.0,1.0
1000,5.5,-0.5,20.0,1.0
1000,5.5,0.0,1.0,1.0
1000,5.5,0.0,2.0,1.0
1000,5.5,0.0,3.0,1.0
1000,5.5,0.0,4.0,1.0
1000,5.5,0.0,8.0,1.0
1000,5.5,0.0,20.0,1.0
1000,5.5,0.5,1.0,1.0
1000,5.5,0.5,2.0,1.0
1000,5.5,0.5,3.0,1.0
1000,5.5,0.5,4.0,1.0
1000,5.5,0.5,8.0,1.0
1000,5.5,0.5,20.0,1.0
1100,3.5,-0.5,1.0,1.0
1100,3.5,-0.5,2.0,1.0
1100,3.5,-0.5,3.0,1.0
1100,3.5,-0.5,4.0,1.0
1100,3.5,-0.5,8.0,1.0
1100,3.5,-0.5,20.0,1.0
1100,3.5,0.0,1.0,1.0
1100,3.5,0.0,2.0,1.0
1100,3.5,0.0,3.0,1.0
1100,3.5,0.0,4.0,1.0
1100,3.5,0.0,8.0,1.0
1100,3.5,0.0,20.0,1.0
1100,3.5,0.5,1.0,1.0
1100,3.5,0.5,2.0,1.0
1100,3.5,0.5,3.0,1.0
1100,3.5,0.5,4.0,1.0
1100,3.5,0.5,8.0,1.0
1100,3.5,0.5,20.0,1.0
1100,4.0,-0.5,1.0,1.0
1100,4.0,-0.5,2.0,1.0
1100,4.0,-0.5,3.0,1.0
1100,4.0,-0.5,4.0,1.0
1100,4.0,-0.5,8.0,1.0
1100,4.0,-0.5,20.0,1.0
1100,4.0,0.0,1.0,1.0
1100,4.0,0.0,2.0,1.0
1100,4.0,0.0,3.0,1.0
1100,4.0,0.0,4.0,1.0
1100,4.0,0.0,8.0,1.0
1100,4.0,0.0,20.0,1.0
1100,4.0,0.5,1.0,1.0
1100,4.0,0.5,2.0,1.0
1100,4.0,0.5,3.0,1.0
1100,4.0,0.5,4.0,1.0
1100,4.0,0.5,8.0,1.0
1100,4.0,0.5,20.0,1.0
1100,4.5,-0.5,1.0,1.0
1100,4.5,-0.5,2.0,1.0
1100,4.5,-0.5,3.0,1.0
1100,4.5,-0.5,4.0,1.0
1100,4.5,-0.5,8.0,1.0
1100,4.5,-0.5,20.0,1.0
1100,4.5,0.0,1.0,1.0
1100,4.5,0.0,2.0,1.0
1100,4.5,0.0,3.0,1.0
1100,4.5,0.0,4.0,1.0
1100,4.5,0.0,8.0,1.0
1100,4.5,0.0,20.0,1.0
1100,4.5,0.5,1.0,1.0
1100,4.5,0.5,2.0,1.0
1100,4.5,0.5,3.0,1.0
1100,4.5,0.5,4.0,1.0
1100,4.5,0.5,8.0,1.0
1100,4.5,0.5,20.0,1.0
1100,5.0,-0.5,1.0,1.0
1100,5.0,-0.5,2.0,1.0
1100,5.0,-0.5,3.0,1.0
1100,5.0,-0.5,4.0,1.0
1100,5.0,-0.5,8.0,1.0
1100,5.0,-0.5,20.0,1.0
1100,5.0,0.0,1.0,1.0
1100,5.0,0.0,2.0,1.0
1100,5.0,0.0,3.0,1.0
1100,5.0,0.0,4.0,1.0
1100,5.0,0.0,8.0,1.0
1100,5.0,0.0,20.0,1.0
1100,5.0,0.5,1.0,1.0
1100,5.0,0.5,2.0,1.0
1100,5.0,0.5,3.0,1.0
1100,5.0,0.5,4.0,1.0
1100,5.0,0.5,8.0,1.0
1100,5.0,0.5,20.0,1.0
1100,5.5,-0.5,1.0,1.0
1100,5.5,-0.5,2.0,1.0
1100,5.5,-0.5,3.0,1.0
1100,5.5,-0.5,4.0,1.0
1100,5.5,-0.5,8.0,1.0
1100,5.5,-0.5,20.0,1.0
1100,5.5,0.0,1.0,1.0
1100,5.5,0.0,2.0,1.0
1100,5.5,0.0,3.0,1.0
1100,5.5,0.0,4.0,1.0
1100,5.5,0.0,8.0,1.0
1100,5.5,0.0,20.0,1.0
1100,5.5,0.5,1.0,1.0
1100,5.5,0.5,2.0,1.0
1100,5.5,0.5,3.0,1.0
1100,5.5,0.5,4.0,1.0
1100,5.5,0.5,8.0,1.0
1100,5.5,0.5,20.0,1.0
1200,3.5,-0.5,1.0,1.0
1200,3.5,-0.5,2.0,1.0
1200,3.5,-0.5,3.0,1.0
1200,3.5,-0.5,4.0,1.0
1200,3.5,-0.5,8.0,1.0
1200,3.5,-0.5,20.0,1.0
1200,3.5,0.0,1.0,1.0
1200,3.5,0.0,2.0,1.0
1200,3.5,0.0,3.0,1.0
1200,3.5,0.0,4.0,1.0
1200,3.5,0.0,8.0,1.0
1200,3.5,0.0,20.0,1.0
1200,3.5,0.5,1.0,1.0
1200,3.5,0.5,2.0,1.0
1200,3.5,0.5,3.0,1.0
1200,3.5,0.5,4.0,1.0
1200,3.5,0.5,8.0,1.0
1200,3.5,0.5,20.0,1.0
1200,4.0,-0.5,1.0,1.0
1200,4.0,-0.5,2.0,1.0
1200,4.0,-0.5,3.0,1.0
1200,4.0,-0.5,4.0,1.0
1200,4.0,-0.5,8.0,1.0
1200,4.0,-0.5,20.0,1.0
1200,4.0,0.0,1.0,1.0
1200,4.0,0.0,2.0,1.0
1200,4.0,0.0,3.0,1.0
1200,4.0,0.0,4.0,1.0
1200,4.0,0.0,8.0,1.0
1200,4.0,0.0,20.0,1.0
1200,4.0,0.5,1.0,1.0
1200,4.0,0.5,2.0,1.0
1200,4.0,0.5,3.0,1.0
1200,4.0,0.5,4.0,1.0
1200,4.0,0.5,8.0,1.0
1200,4.0,0.5,20.0,1.0
1200,4.5,-0.5,1.0,1.0
1200,4.5,-0.5,2.0,1.0
1200,4.5,-0.5,3.0,1.0
1200,4.5,-0.5,4.0,1.0
1200,4.5,-0.5,8.0,1.0
1200,4.5,-0.5,20.0,1.0
1200,4.5,0.0,1.0,1.0
1200,4.5,0.0,2.0,1.0
1200,4.5,0.0,3.0,1.0
1200,4.5,0.0,4.0,1.0
1200,4.5,0.0,8.0,1.0
1200,4.5,0.0,20.0,1.0
1200,4.5,0.5,1.0,1.0
1200,4.5,0.5,2.0,1.0
1200,4.5,0.5,3.0,1.0
1200,4.5,0.5,4.0,1.0
1200,4.5,0.5,8.0,1.0
1200,4.5,0.5,20.0,1.0
1200,5.0,-0.5,1.0,1.0
1200,5.0,-0.5,2.0,1.0
1200,5.0,-0.5,3.0,1.0
1200,5.0,-0.5,4.0,1.0
1200,5.0,-0.5,8.0,1.0
1200,5.0,-0.5,20.0,1.0
1200,5.0,0.0,1.0,1.0
1200,5.0,0.0,2.0,1.0
1200,5.0,0.0,3.0,1.0
1200,5.0,0.0,4.0,1.0
1200,5.0,0.0,8.0,1.0
1200,5.0,0.0,20.0,1.0
1200,5.0,0.5,1.0,1.0
1200,5.0,0.5,2.0,1.0
1200,5.0,0.5,3.0,1.0
1200,5.0,0.5,4.0,1.0
1200,5.0,0.5,8.0,1.0
1200,5.0,0.5,20.0,1.0
1200,5.5,-0.5,1.0,1.0
1200,5.5,-0.5,2.0,1.0
1200,5.5,-0.5,3.0,1.0
1200,5.5,-0.5,4.0,1.0
1200,5.5,-0.5,8.0,1.0
1200,5.5,-0.5,20.0,1.0
1200,5.5,0.0,1.0,1.0
1200,5.5,0.0,2.0,1.0
1200,5.5,0.0,3.0,1.0
1200,5.5,0.0,4.0,1.0
1200,5.5,0.0,8.0,1.0
1200,5.5,0.0,20.0,1.0
1200,5.5,0.5,1.0,1.0
1200,5.5,0.5,2.0,1.0
1200,5.5,0.5,3.0,1.0
1200,5.5,0.5,4.0,1.0
1200,5.5,0.5,8.0,1.0
1200,5.5,0.5,20.0,1.0
1300,3.5,-0.5,1.0,1.0
1300,3.5,-0.5,2.0,1.0
1300,3.5,-0.5,3.0,1.0
1300,3.5,-0.5,4.0,1.0
1300,3.5,-0.5,8.0,1.0
1300,3.5,-0.5,20.0,1.0
1300,3.5,0.0,1.0,1.0
1300,3.5,0.0,2.0,1.0
1300,3.5,0.0,3.0,1.0
1300,3.5,0.0,4.0,1.0
1300,3.5,0.0,8.0,1.0
1300,3.5,0.0,20.0,1.0
1300,3.5,0.5,1.0,1.0
1300,3.5,0.5,2.0,1.0
1300,3.5,0.5,3.0,1.0
1300,3.5,0.5,4.0,1.0
1300,3.5,0.5,8.0,1.0
1300,3.5,0.5,20.0,1.0
1300,4.0,-0.5,1.0,1.0
1300,4.0,-0.5,2.0,1.0
1300,4.0,-0.5,3.0,1.0
1300,4.0,-0.5,4.0,1.0
1300,4.0,-0.5,8.0,1.0
1300,4.0,-0.5,20.0,1.0
1300,4.0,0.0,1.0,1.0
1300,4.0,0.0,2.0,1.0
1300,4.0,0.0,3.0,1.0
1300,4.0,0.0,4.0,1.0
1300,4.0,0.0,8.0,1.0
1300,4.0,0.0,20.0,1.0
1300,4.0,0.5,1.0,1.0
1300,4.0,0.5,2.0,1.0
1300,4.0,0.5,3.0,1.0
1300,4.0,0.5,4.0,1.0
1300,4.0,0.5,8.0,1.0
1300,4.0,0.5,20.0,1.0
1300,4.5,-0.5,1.0,1.0
1300,4.5,-0.5,2.0,1.0
1300,4.5,-0.5,3.0,1.0
1300,4.5,-0.5,4.0,1.0
1300,4.5,-0.5,8.0,1.0
1300,4.5,-0.5,20.0,1.0
1300,4.5,0.0,1.0,1.0
1300,4.5,0.0,2.0,1.0
1300,4.5,0.0,3.0,1.0
1300,4.5,0.0,4.0,1.0
1300,4.5,0.0,8.0,1.0
1300,4.5,0.0,20.0,1.0
1300,4.5,0.5,1.0,1.0
1300,4.5,0.5,2.0,1.0
1300,4.5,0.5,3.0,1.0
1300,4.5,0.5,4.0,1.0
1300,4.5,0.5,8.0,1.0
1300,4.5,0.5,20.0,1.0
1300,5.0,-0.5,1.0,1.0
1300,5.0,-0.5,2.0,1.0
1300,5.0,-0.5,3.0,1.0
1300,5.0,-0.5,4.0,1.0
1300,5.0,-0.5,8.0,1.0
1300,5.0,-0.5,20.0,1.0
1300,5.0,0.0,1.0,1.0
1300,5.0,0.0,2.0,1.0
1300,5.0,0.0,3.0,1.0
1300,5.0,0.0,4.0,1.0
1300,5.0,0.0,8.0,1.0
1300,5.0,0.0,20.0,1.0
1300,5.0,0.5,1.0,1.0
1300,5.0,0.5,2.0,1.0
1300,5.0,0.5,3.0,1.0
1300,5.0,0.5,4.0,1.0
1300,5.0,0.5,8.0,1.0
1300,5.0,0.5,20.0,1.0
1300,5.5,-0.5,1.0,1.0
1300,5.5,-0.5,2.0,1.0
1300,5.5,-0.5,3.0,1.0
1300,5.5,-0.5,4.0,1.0
1300,5.5,-0.5,8.0,1.0
1300,5.5,-0.5,20.0,1.0
1300,5.5,0.0,1.0,1.0
1300,5.5,0.0,2.0,1.0
1300,5.5,0.0,3.0,1.0
1300,5.5,0.0,4.0,1.0
1300,5.5,0.0,8.0,1.0
1300,5.5,0.0,20.0,1.0
1300,5.5,0.5,1.0,1.0
1300,5.5,0.5,2.0,1.0
1300,5.5,0.5,3.0,1.0
1300,5.5,0.5,4.0,1.0
1300,5.5,0.5,8.0,1.0
1300,5.5,0.5,20.0,1.0
1400,3.5,-0.5,1.0,1.0
1400,3.5,-0.5,2.0,1.0
1400,3.5,-0.5,3.0,1.0
1400,3.5,-0.5,4.0,1.0
1400,3.5,-0.5,8.0,1.0
1400,3.5,-0.5,20.0,1.0
1400,3.5,0.0,1.0,1.0
1400,3.5,0.0,2.0,1.0
1400,3.5,0.0,3.0,1.0
1400,3.5,0.0,4.0,1.0
1400,3.5,0.0,8.0,1.0
1400,3.5,0.0,20.0,1.0
1400,3.5,0.5,1.0,1.0
1400,3.5,0.5,2.0,1.0
1400,3.5,0.5,3.0,1.0
1400,3.5,0.5,4.0,1.0
1400,3.5,0.5,8.0,1.0
1400,3.5,0.5,20.0,1.0
1400,4.0,-0.5,1.0,1.0
1400,4.0,-0.5,2.0,1.0
1400,4.0,-0.5,3.0,1.0
1400,4.0,-0.5,4.0,1.0
1400,4.0,-0.5,8.0,1.0
1400,4.0,-0.5,20.0,1.0
1400,4.0,0.0,1.0,1.0
1400,4.0,0.0,2.0,1.0
1400,4.0,0.0,3.0,1.0
1400,4.0,0.0,4.0,1.0
1400,4.0,0.0,8.0,1.0
1400,4.0,0.0,20.0,1.0
1400,4.0,0.5,1.0,1.0
1400,4.0,0.5,2.0,1.0
